Campaign_ID,Target_Audience,Duration,Channel_Used,Conversion_Rate,ROI,Clicks,Impressions,Date
1978,All Ages,30 days,YouTube,0.01,4.23,100,5975,2021-06-02
1981,Women 25-34,30 days,Instagram,0.15,6.49,991,8334,2021-06-05
1986,Women 35-44,15 days,Google Ads,0.02,6.13,915,3573,2021-06-10
1990,Women 35-44,15 days,Google Ads,0.04,4.82,228,6572,2021-06-14
1991,Women 25-34,15 days,Google Ads,0.07,6.98,499,8707,2021-06-15
1994,All Ages,60 days,Google Ads,0.1,7.83,409,3801,2021-06-18
1995,Men 18-24,30 days,Google Ads,0.15,7.37,723,1275,2021-06-19
1997,Men 25-34,60 days,YouTube,0.04,4.83,354,1814,2021-06-21
1998,All Ages,45 days,Instagram,0.06,8.0,182,6336,2021-06-22
1999,Women 35-44,45 days,Instagram,0.15,8.0,438,7747,2021-06-23
2003,All Ages,30 days,YouTube,0.07,3.87,518,10000,2021-06-27
2005,Women 25-34,15 days,YouTube,0.06,2.0,109,4409,2021-06-29
2349,Women 25-34,60 days,YouTube,0.03,2.0,527,7123,2021-06-08
2352,Men 18-24,45 days,YouTube,0.02,2.68,117,7065,2021-06-11
2353,Men 18-24,60 days,YouTube,0.03,2.55,299,4348,2021-06-12
2354,All Ages,30 days,YouTube,0.08,2.76,310,9586,2021-06-13
2359,Women 35-44,45 days,Instagram,0.15,6.46,662,1759,2021-06-18
2362,All Ages,60 days,Instagram,0.15,8.0,741,6913,2021-06-21
2366,Women 25-34,15 days,YouTube,0.07,2.0,437,3134,2021-06-25
2367,Women 35-44,45 days,Google Ads,0.06,4.21,503,3653,2021-06-26
2368,Women 35-44,30 days,Instagram,0.08,8.0,237,4400,2021-06-27
2707,Women 25-34,60 days,Google Ads,0.14,4.55,106,1526,2021-06-01
2710,All Ages,15 days,Instagram,0.03,8.0,221,6629,2021-06-04
2715,Women 35-44,30 days,YouTube,0.08,2.0,200,8069,2021-06-09
2720,Women 25-34,15 days,YouTube,0.01,2.41,235,4826,2021-06-14
2722,Women 35-44,60 days,Instagram,0.11,3.03,750,1566,2021-06-16
2723,All Ages,45 days,Google Ads,0.11,2.06,106,2427,2021-06-17
2724,Men 25-34,60 days,YouTube,0.04,2.0,244,6800,2021-06-18
2726,Women 25-34,60 days,Google Ads,0.08,3.1,352,8933,2021-06-20
2728,All Ages,15 days,Google Ads,0.04,7.07,691,6670,2021-06-22
2729,Women 35-44,30 days,YouTube,0.06,2.3,124,10000,2021-06-23
2732,All Ages,60 days,Google Ads,0.1,4.18,827,4178,2021-06-26
2733,Men 25-34,45 days,YouTube,0.04,4.72,420,8066,2021-06-27
2735,Women 25-34,30 days,Google Ads,0.03,3.12,967,6138,2021-06-29
3072,Women 35-44,30 days,YouTube,0.04,2.0,146,2257,2021-06-01
3074,Women 25-34,15 days,YouTube,0.03,2.62,341,7200,2021-06-03
3076,Women 35-44,45 days,Instagram,0.15,6.28,1000,8590,2021-06-05
3078,Men 18-24,60 days,Google Ads,0.06,3.86,338,9830,2021-06-07
3079,Men 18-24,60 days,Instagram,0.11,7.67,1000,1353,2021-06-08
3080,Women 35-44,30 days,YouTube,0.01,4.53,100,7495,2021-06-09
3081,Women 35-44,15 days,YouTube,0.03,3.35,229,8213,2021-06-10
3084,Men 18-24,45 days,Instagram,0.08,3.94,894,5900,2021-06-13
3085,Women 25-34,45 days,Instagram,0.14,7.98,208,4512,2021-06-14
3087,Men 25-34,30 days,Google Ads,0.09,5.57,310,5465,2021-06-16
3088,Men 25-34,60 days,Google Ads,0.1,4.01,635,4656,2021-06-17
3089,Women 35-44,60 days,Instagram,0.15,7.79,1000,9388,2021-06-18
3090,All Ages,45 days,Google Ads,0.11,5.05,157,7462,2021-06-19
3091,Men 25-34,45 days,Instagram,0.13,8.0,1000,7988,2021-06-20
3093,All Ages,45 days,YouTube,0.05,3.95,284,9120,2021-06-22
3095,Women 35-44,60 days,YouTube,0.04,4.6,621,1726,2021-06-24
3097,Women 35-44,45 days,YouTube,0.03,2.33,625,10000,2021-06-26
3099,Men 25-34,60 days,Instagram,0.15,6.6,1000,3029,2021-06-28
3100,All Ages,60 days,YouTube,0.06,3.76,224,6912,2021-06-29
3438,All Ages,60 days,Instagram,0.15,8.0,1000,3302,2021-06-02
3439,Women 35-44,60 days,YouTube,0.07,4.68,584,7753,2021-06-03
3440,Men 25-34,30 days,Google Ads,0.12,6.29,236,3442,2021-06-04
3442,Men 18-24,60 days,Instagram,0.11,6.47,898,5888,2021-06-06
3444,Women 25-34,45 days,Google Ads,0.02,4.29,448,6818,2021-06-08
3448,Women 25-34,45 days,YouTube,0.04,3.5,432,1916,2021-06-12
3449,Men 18-24,30 days,YouTube,0.08,3.55,505,2969,2021-06-13
3450,Women 35-44,15 days,Instagram,0.03,3.52,1000,7237,2021-06-14
3451,Women 35-44,45 days,Google Ads,0.14,7.87,369,2051,2021-06-15
3456,All Ages,60 days,Instagram,0.15,6.82,1000,7464,2021-06-20
3458,Men 25-34,15 days,YouTube,0.03,4.08,561,8999,2021-06-22
3460,Women 35-44,60 days,Google Ads,0.07,5.83,632,6474,2021-06-24
3463,Men 25-34,45 days,Instagram,0.03,8.0,303,7924,2021-06-27
3464,Men 25-34,30 days,Google Ads,0.05,3.99,768,1518,2021-06-28
3466,Women 35-44,30 days,Instagram,0.08,5.58,725,4283,2021-06-30
3804,Women 35-44,30 days,YouTube,0.08,2.37,139,3862,2021-06-03
3807,All Ages,60 days,YouTube,0.03,4.14,612,2386,2021-06-06
3808,Women 35-44,45 days,Instagram,0.05,8.0,536,6787,2021-06-07
3809,Men 25-34,15 days,Instagram,0.15,3.96,458,8272,2021-06-08
3810,Men 25-34,60 days,Google Ads,0.07,6.41,469,5173,2021-06-09
3811,Women 35-44,15 days,Instagram,0.03,6.56,850,1635,2021-06-10
3813,Men 25-34,15 days,Instagram,0.14,5.84,1000,7462,2021-06-12
3815,Women 25-34,60 days,Google Ads,0.06,2.94,266,2251,2021-06-14
3817,Men 18-24,45 days,Google Ads,0.14,5.07,648,8251,2021-06-16
3823,Men 18-24,30 days,Instagram,0.15,8.0,364,9079,2021-06-22
3824,Men 25-34,60 days,Google Ads,0.08,7.44,465,1199,2021-06-23
3825,Men 25-34,30 days,Instagram,0.15,7.75,649,1669,2021-06-24
3828,Women 35-44,60 days,YouTube,0.04,3.53,393,5944,2021-06-27
3830,Women 25-34,15 days,Instagram,0.15,5.12,926,5907,2021-06-29
4167,Women 25-34,45 days,Instagram,0.14,7.96,1000,4902,2021-06-01
4170,Men 18-24,15 days,Google Ads,0.07,5.28,466,4852,2021-06-04
4171,Women 35-44,45 days,Instagram,0.14,8.0,871,1673,2021-06-05
4174,Women 25-34,45 days,Google Ads,0.1,6.06,720,7297,2021-06-08
4176,All Ages,30 days,Instagram,0.15,3.93,1000,3244,2021-06-10
4178,Women 25-34,45 days,Instagram,0.15,3.26,707,4091,2021-06-12
4180,Men 18-24,30 days,Instagram,0.15,2.85,386,5870,2021-06-14
4186,Men 18-24,45 days,Instagram,0.15,3.93,159,7114,2021-06-20
4189,Women 25-34,15 days,Instagram,0.15,3.11,485,5918,2021-06-23
4193,Men 25-34,45 days,Google Ads,0.08,7.87,401,7094,2021-06-27
4194,Women 35-44,30 days,YouTube,0.06,4.31,580,3177,2021-06-28
4196,Women 25-34,15 days,Instagram,0.02,2.61,498,6886,2021-06-30
4532,Men 25-34,60 days,Instagram,0.15,2.82,959,3395,2021-06-01
4536,Men 18-24,30 days,Google Ads,0.12,3.94,669,6426,2021-06-05
4537,Men 25-34,60 days,YouTube,0.01,4.15,489,3366,2021-06-06
4539,Women 25-34,30 days,Google Ads,0.07,2.74,691,6461,2021-06-08
4540,Women 35-44,60 days,YouTube,0.08,2.37,202,3139,2021-06-09
4543,Women 35-44,15 days,Google Ads,0.14,7.4,104,2848,2021-06-12
4544,Men 18-24,30 days,Instagram,0.06,8.0,576,7696,2021-06-13
4546,Men 25-34,30 days,YouTube,0.04,4.31,122,9676,2021-06-15
4547,Women 25-34,60 days,YouTube,0.07,3.54,242,9665,2021-06-16
4548,Men 18-24,45 days,YouTube,0.05,2.0,109,10000,2021-06-17
4549,All Ages,30 days,Google Ads,0.13,5.09,332,9058,2021-06-18
4550,All Ages,15 days,Instagram,0.13,8.0,867,3740,2021-06-19
4558,Men 18-24,30 days,YouTube,0.03,3.08,569,8868,2021-06-27
4559,All Ages,30 days,Google Ads,0.13,3.59,529,1877,2021-06-28
4561,Men 18-24,15 days,YouTube,0.02,2.0,407,3023,2021-06-30
4897,Women 25-34,15 days,Instagram,0.08,6.75,593,1813,2021-06-01
4898,All Ages,15 days,Google Ads,0.11,5.83,932,4979,2021-06-02
4899,Women 25-34,60 days,YouTube,0.08,2.05,641,5141,2021-06-03
4900,Men 18-24,45 days,Instagram,0.15,8.0,1000,6990,2021-06-04
4904,Women 25-34,45 days,Google Ads,0.07,5.79,520,2297,2021-06-08
4906,All Ages,45 days,YouTube,0.01,2.64,408,9156,2021-06-10
4907,Women 35-44,60 days,Google Ads,0.12,3.15,686,9452,2021-06-11
4909,Men 18-24,60 days,YouTube,0.08,3.51,413,2292,2021-06-13
4912,All Ages,45 days,Google Ads,0.11,4.7,570,8222,2021-06-16
4913,Men 25-34,60 days,Google Ads,0.06,2.1,941,9175,2021-06-17
4918,Women 25-34,15 days,YouTube,0.02,3.4,396,10000,2021-06-22
4920,Women 35-44,60 days,Google Ads,0.02,5.64,286,7020,2021-06-24
4922,Women 25-34,45 days,Google Ads,0.03,4.71,236,1998,2021-06-26
4925,Women 35-44,15 days,YouTube,0.06,3.03,229,9067,2021-06-29
5263,Women 25-34,60 days,YouTube,0.06,3.2,281,9560,2021-06-02
5265,Men 25-34,30 days,YouTube,0.07,2.0,283,6559,2021-06-04
5266,Women 35-44,15 days,Instagram,0.15,8.0,760,2188,2021-06-05
5269,Men 18-24,45 days,YouTube,0.02,2.41,221,6787,2021-06-08
5272,Women 35-44,30 days,YouTube,0.04,4.71,309,10000,2021-06-11
5274,All Ages,30 days,Google Ads,0.07,5.52,366,3266,2021-06-13
5275,Men 25-34,30 days,YouTube,0.02,3.86,298,10000,2021-06-14
5276,All Ages,45 days,YouTube,0.02,2.0,619,9008,2021-06-15
5277,Women 25-34,30 days,Google Ads,0.09,7.33,470,2122,2021-06-16
5280,All Ages,15 days,Instagram,0.05,8.0,994,2802,2021-06-19
5282,Women 35-44,45 days,Instagram,0.15,7.38,1000,7448,2021-06-21
5285,Men 18-24,60 days,Google Ads,0.08,6.4,978,5790,2021-06-24
5286,Men 25-34,15 days,Instagram,0.15,8.0,1000,6964,2021-06-25
5287,Women 25-34,60 days,Google Ads,0.1,7.92,520,6550,2021-06-26
5288,Men 18-24,30 days,Google Ads,0.13,2.78,193,2919,2021-06-27
5627,Women 25-34,60 days,Google Ads,0.04,2.53,567,8982,2021-06-01
5628,All Ages,30 days,Instagram,0.15,5.92,1000,7796,2021-06-02
5633,Men 25-34,60 days,Instagram,0.03,7.74,1000,8265,2021-06-07
5634,Men 18-24,45 days,YouTube,0.04,2.0,610,5635,2021-06-08
5635,Men 18-24,30 days,YouTube,0.08,4.13,400,10000,2021-06-09
5638,All Ages,60 days,Instagram,0.15,8.0,1000,5522,2021-06-12
5639,All Ages,45 days,YouTube,0.04,2.0,374,3475,2021-06-13
5641,Men 25-34,15 days,Google Ads,0.1,7.65,579,4377,2021-06-15
5642,Men 18-24,15 days,Google Ads,0.11,7.96,303,3077,2021-06-16
5643,Men 25-34,30 days,YouTube,0.03,3.03,636,5224,2021-06-17
5644,All Ages,15 days,Google Ads,0.08,4.12,399,4834,2021-06-18
5648,Women 35-44,45 days,Instagram,0.05,8.0,507,2618,2021-06-22
5650,Men 25-34,45 days,Google Ads,0.12,3.95,747,6128,2021-06-24
5653,Women 35-44,60 days,Google Ads,0.08,5.44,219,9941,2021-06-27
5654,Men 18-24,45 days,Google Ads,0.14,7.57,850,1267,2021-06-28
5656,Men 18-24,30 days,YouTube,0.03,2.83,216,5540,2021-06-30
5993,Women 35-44,30 days,YouTube,0.01,2.0,100,5798,2021-06-02
5994,Women 35-44,30 days,Google Ads,0.15,5.95,651,5550,2021-06-03
5995,Men 18-24,15 days,Instagram,0.15,3.7,1000,6058,2021-06-04
6000,All Ages,60 days,Instagram,0.11,8.0,523,8961,2021-06-09
6003,All Ages,30 days,YouTube,0.07,4.07,169,3973,2021-06-12
6005,Women 35-44,45 days,Instagram,0.05,5.36,467,7771,2021-06-14
6006,Men 25-34,60 days,Google Ads,0.05,4.34,755,2810,2021-06-15
6007,Men 18-24,45 days,Google Ads,0.13,3.6,215,7811,2021-06-16
6008,Men 18-24,60 days,YouTube,0.01,4.31,456,10000,2021-06-17
6009,Women 35-44,60 days,YouTube,0.06,4.29,170,8711,2021-06-18
6014,Women 35-44,45 days,Google Ads,0.12,5.26,441,2929,2021-06-23
6016,All Ages,60 days,Google Ads,0.02,7.54,953,2468,2021-06-25
6017,Women 35-44,45 days,Google Ads,0.15,7.27,263,5248,2021-06-26
6018,Men 18-24,45 days,YouTube,0.07,2.82,169,10000,2021-06-27
6019,All Ages,60 days,Instagram,0.11,8.0,437,4843,2021-06-28
6020,Men 18-24,60 days,Google Ads,0.02,2.12,449,7457,2021-06-29
6359,Men 18-24,15 days,Google Ads,0.02,2.4,471,9272,2021-06-03
6362,Men 18-24,15 days,Instagram,0.05,4.78,282,9377,2021-06-06
6363,Women 35-44,30 days,YouTube,0.08,3.03,452,5478,2021-06-07
6365,Women 25-34,45 days,Instagram,0.15,5.92,800,2179,2021-06-09
6366,Men 18-24,60 days,Google Ads,0.02,2.63,407,6503,2021-06-10
6367,Women 25-34,15 days,Google Ads,0.13,6.96,955,9527,2021-06-11
6368,Women 25-34,60 days,Google Ads,0.1,2.43,186,1104,2021-06-12
6369,All Ages,30 days,Instagram,0.08,3.6,585,9291,2021-06-13
6370,Men 25-34,45 days,Instagram,0.06,7.72,831,8150,2021-06-14
6371,Women 35-44,45 days,Google Ads,0.08,2.72,179,2397,2021-06-15
6374,Men 25-34,30 days,Instagram,0.06,7.4,325,4394,2021-06-18
6375,Women 25-34,60 days,Instagram,0.05,5.95,1000,8853,2021-06-19
6376,Women 25-34,30 days,YouTube,0.08,3.49,563,7611,2021-06-20
6377,All Ages,15 days,YouTube,0.06,3.45,309,2729,2021-06-21
6379,Men 18-24,60 days,YouTube,0.03,4.63,368,1333,2021-06-23
6381,Men 18-24,15 days,Instagram,0.15,8.0,1000,7999,2021-06-25
6384,All Ages,45 days,YouTube,0.06,2.0,167,10000,2021-06-28
6386,Women 35-44,30 days,Google Ads,0.1,3.05,807,6380,2021-06-30
6722,Women 25-34,45 days,YouTube,0.03,3.74,553,4013,2021-06-01
6723,All Ages,30 days,Instagram,0.15,7.27,922,7340,2021-06-02
6724,Men 25-34,45 days,Instagram,0.03,6.84,1000,8652,2021-06-03
6725,Men 25-34,60 days,Instagram,0.15,3.94,812,7979,2021-06-04
6727,Men 18-24,15 days,YouTube,0.08,5.02,569,10000,2021-06-06
6728,All Ages,30 days,Instagram,0.09,3.16,632,4644,2021-06-07
6729,All Ages,30 days,YouTube,0.03,2.91,518,6213,2021-06-08
6730,Women 35-44,60 days,Instagram,0.11,3.8,1000,4320,2021-06-09
6732,Men 25-34,60 days,YouTube,0.03,3.53,500,10000,2021-06-11
6733,All Ages,30 days,Google Ads,0.13,7.58,1000,9705,2021-06-12
6735,Men 25-34,45 days,YouTube,0.08,2.84,496,9962,2021-06-14
6736,Men 18-24,15 days,Instagram,0.13,2.87,380,5745,2021-06-15
6737,Women 25-34,45 days,YouTube,0.06,3.78,341,6771,2021-06-16
6738,Men 18-24,60 days,YouTube,0.06,4.33,610,6678,2021-06-17
6743,Men 25-34,45 days,Google Ads,0.02,7.86,934,2780,2021-06-22
6746,Women 25-34,30 days,Instagram,0.15,5.11,974,2373,2021-06-25
6748,Women 35-44,15 days,Google Ads,0.08,2.78,768,7092,2021-06-27
7089,Men 18-24,30 days,Google Ads,0.08,5.84,783,5360,2021-06-03
7090,Men 25-34,30 days,YouTube,0.06,4.93,621,6885,2021-06-04
7092,All Ages,60 days,YouTube,0.01,5.02,295,7324,2021-06-06
7093,Women 35-44,30 days,Google Ads,0.13,7.91,206,7774,2021-06-07
7095,Women 25-34,15 days,Instagram,0.15,8.0,1000,2502,2021-06-09
7096,Women 35-44,15 days,Google Ads,0.04,3.08,808,9087,2021-06-10
7103,All Ages,45 days,Google Ads,0.15,5.41,188,7247,2021-06-17
7105,Men 25-34,15 days,Instagram,0.11,4.38,685,4362,2021-06-19
7106,Women 25-34,45 days,Google Ads,0.11,5.94,529,7786,2021-06-20
7107,Women 25-34,15 days,Instagram,0.15,8.0,653,6986,2021-06-21
7109,Women 35-44,45 days,Instagram,0.15,8.0,250,5639,2021-06-23
7111,Men 18-24,30 days,Instagram,0.15,8.0,705,3716,2021-06-25
7113,Men 25-34,60 days,YouTube,0.07,2.64,367,1932,2021-06-27
7116,Women 35-44,45 days,YouTube,0.08,2.11,506,6237,2021-06-30
7452,Women 25-34,60 days,Google Ads,0.04,6.5,664,1793,2021-06-01
7453,All Ages,60 days,Google Ads,0.01,7.75,118,9837,2021-06-02
7454,Women 35-44,45 days,YouTube,0.02,2.05,226,3849,2021-06-03
7455,Men 25-34,30 days,Instagram,0.15,8.0,214,8430,2021-06-04
7458,Women 35-44,15 days,Google Ads,0.14,2.57,400,1192,2021-06-07
7462,Women 25-34,30 days,Google Ads,0.03,7.98,937,2961,2021-06-11
7465,All Ages,30 days,YouTube,0.04,2.55,330,10000,2021-06-14
7468,Women 35-44,30 days,Google Ads,0.15,5.61,114,7619,2021-06-17
7472,Men 18-24,45 days,YouTube,0.08,4.76,174,1882,2021-06-21
7474,Women 35-44,60 days,Instagram,0.09,6.88,987,8764,2021-06-23
7477,Women 35-44,30 days,Instagram,0.15,3.56,450,5892,2021-06-26
7817,Women 25-34,45 days,Instagram,0.05,4.56,1000,3045,2021-06-01
7819,Men 18-24,60 days,YouTube,0.03,4.41,429,6915,2021-06-03
7824,Women 25-34,60 days,Google Ads,0.15,2.0,349,7695,2021-06-08
7825,Women 35-44,15 days,YouTube,0.01,2.0,448,2189,2021-06-09
7826,Men 18-24,45 days,YouTube,0.08,2.0,369,2826,2021-06-10
7827,Men 25-34,15 days,Instagram,0.15,6.55,448,6468,2021-06-11
7828,Men 25-34,60 days,Instagram,0.15,5.69,627,1690,2021-06-12
7835,Men 25-34,60 days,YouTube,0.07,3.5,197,6498,2021-06-19
7838,Women 35-44,15 days,Google Ads,0.06,7.49,727,3688,2021-06-22
7840,Men 25-34,45 days,YouTube,0.01,3.1,100,6324,2021-06-24
7843,Men 25-34,15 days,Instagram,0.15,8.0,162,1705,2021-06-27
7844,Women 35-44,60 days,YouTube,0.03,3.83,584,2319,2021-06-28
7845,Men 18-24,30 days,YouTube,0.01,2.97,599,3102,2021-06-29
8182,Men 18-24,60 days,YouTube,0.08,2.19,582,9486,2021-06-01
8183,All Ages,30 days,YouTube,0.03,2.59,396,4422,2021-06-02
8184,All Ages,60 days,Instagram,0.02,8.0,1000,4949,2021-06-03
8185,Women 25-34,45 days,Instagram,0.08,8.0,177,4969,2021-06-04
8187,Women 35-44,15 days,Google Ads,0.11,2.45,943,9234,2021-06-06
8193,Men 18-24,45 days,Google Ads,0.14,7.38,303,5886,2021-06-12
8194,Men 25-34,45 days,YouTube,0.01,3.71,157,10000,2021-06-13
8195,Men 18-24,60 days,Google Ads,0.03,3.07,819,4049,2021-06-14
8196,All Ages,60 days,Google Ads,0.08,5.15,599,6034,2021-06-15
8199,Women 25-34,60 days,Google Ads,0.13,4.56,107,2049,2021-06-18
8200,All Ages,60 days,Instagram,0.15,6.5,263,1912,2021-06-19
8201,Men 25-34,30 days,Instagram,0.08,6.15,966,7796,2021-06-20
8203,Men 18-24,45 days,Instagram,0.15,3.8,307,1788,2021-06-22
8204,Women 35-44,30 days,YouTube,0.07,2.98,195,8866,2021-06-23
8206,Men 18-24,45 days,Google Ads,0.01,7.43,361,2748,2021-06-25
8207,All Ages,15 days,Google Ads,0.02,3.19,788,8366,2021-06-26
8209,Women 25-34,45 days,Google Ads,0.14,6.4,233,8598,2021-06-28
8210,Women 25-34,45 days,YouTube,0.05,2.81,121,3229,2021-06-29
8555,Women 35-44,60 days,Google Ads,0.07,2.44,614,9797,2021-06-09
8556,Men 25-34,60 days,Google Ads,0.06,6.86,469,6777,2021-06-10
8557,All Ages,45 days,Google Ads,0.1,5.55,262,1611,2021-06-11
8558,Women 25-34,30 days,Google Ads,0.09,2.65,426,7306,2021-06-12
8562,Men 25-34,15 days,YouTube,0.01,4.16,564,7725,2021-06-16
8564,Men 18-24,30 days,Google Ads,0.08,7.23,865,9668,2021-06-18
8565,Men 18-24,45 days,Google Ads,0.09,5.03,171,9060,2021-06-19
8566,All Ages,30 days,YouTube,0.07,3.83,286,7635,2021-06-20
8567,All Ages,45 days,YouTube,0.02,3.53,500,6603,2021-06-21
8568,All Ages,30 days,YouTube,0.02,3.12,204,9019,2021-06-22
8569,Women 35-44,45 days,YouTube,0.08,2.75,359,7612,2021-06-23
8570,Women 25-34,15 days,Google Ads,0.14,6.61,969,9350,2021-06-24
8571,Women 25-34,15 days,Instagram,0.06,5.76,766,8119,2021-06-25
